(javac -classpath "/usr/local/bin/prism/classes:/usr/local/bin/prism/lib/*:/usr/local/bin/prism/prism/classes:/usr/local/bin/prism/prism/lib/*" -d classes src/./GetProbability.java)
PRISM_DIR=/usr/local/bin/prism PRISM_MAINCLASS=simulate.GetProbability bin/run
bin/run: 21: [[: not found



********************************

WORKING ON models/2react.sm

********************************
Path 0 - Length 814	Prob 1.108731e-250
Path 1 - Length 4352	Prob 0.000000e+00
Path 2 - Length 1948	Prob 0.000000e+00
Path 3 - Length 1780	Prob 0.000000e+00
Path 4 - Length 3428	Prob 0.000000e+00
Path 5 - Length 8920	Prob 0.000000e+00
Path 6 - Length 3024	Prob 0.000000e+00
Path 7 - Length 836	Prob 9.757790e-258
Path 8 - Length 7032	Prob 0.000000e+00
Path 9 - Length 14802	Prob 0.000000e+00
Path 10 - Length 2036	Prob 0.000000e+00
Path 11 - Length 644	Prob 1.753465e-202
Path 12 - Length 9158	Prob 0.000000e+00
Path 13 - Length 14284	Prob 0.000000e+00
Path 14 - Length 8116	Prob 0.000000e+00
Path 15 - Length 322	Prob 4.681867e-102
Path 16 - Length 6088	Prob 0.000000e+00
Path 17 - Length 2510	Prob 0.000000e+00
Path 18 - Length 3568	Prob 0.000000e+00
Path 19 - Length 292	Prob 5.761852e-94
Path 20 - Length 21120	Prob 0.000000e+00
Path 21 - Length 756	Prob 5.636622e-241
Path 22 - Length 2016	Prob 0.000000e+00
Path 23 - Length 4718	Prob 0.000000e+00
Path 24 - Length 2966	Prob 0.000000e+00
Path 25 - Length 3794	Prob 0.000000e+00
Path 26 - Length 13802	Prob 0.000000e+00
Path 27 - Length 10552	Prob 0.000000e+00
Path 28 - Length 332	Prob 2.254564e-106
Path 29 - Length 3928	Prob 0.000000e+00
Path 30 - Length 1754	Prob 0.000000e+00
Path 31 - Length 792	Prob 6.340169e-249
Path 32 - Length 4864	Prob 0.000000e+00
Path 33 - Length 2338	Prob 0.000000e+00
Path 34 - Length 1314	Prob 0.000000e+00
Path 35 - Length 2942	Prob 0.000000e+00
